date,open,high,low,close,volume
30-12-2024,220.06,222.9972,218.43,221.3,28321240
27-12-2024,225.6,226.03,220.9,223.75,27367147
26-12-2024,228.5,228.5,226.6706,227.05,16174500
24-12-2024,226.94,229.14,226.13,229.05,15007497
23-12-2024,225.01,226.88,223.9,225.06,28070007
20-12-2024,219.84,226.21,218.73,224.92,88279184
19-12-2024,224.91,226.09,222.92,223.29,39918739
18-12-2024,230.77,231.3999,220.11,220.52,43281443
17-12-2024,232.39,232.73,227.85,231.15,35948131
16-12-2024,230.23,233,228.01,232.93,37552096
13-12-2024,228.4,230.2,225.8608,227.46,28768080
12-12-2024,229.83,231.09,227.63,228.97,28204084
11-12-2024,226.41,231.2,226.26,230.26,35385785
10-12-2024,226.09,229.06,224.2002,225.04,31199864
09-12-2024,227.21,230.08,225.67,226.09,46819363
06-12-2024,220.75,227.15,220.6,227.03,44178069
05-12-2024,218.03,222.15,217.3,220.55,41140220
04-12-2024,215.96,220,215.75,218.16,48745716
03-12-2024,210.31,214.02,209.65,213.44,32214828
02-12-2024,209.96,212.99,209.5101,210.71,39523185
29-11-2024,205.83,208.2,204.59,207.89,24892447
27-11-2024,206.98,207.64,205.05,205.74,28061638
26-11-2024,201.9,208,201.79,207.86,41673737
25-11-2024,199.28,201.9499,199,201.45,40685672
22-11-2024,198.25,199.2599,196.75,197.12,31530844
21-11-2024,203.49,203.49,195.75,198.38,58800042
20-11-2024,202.98,203.13,199.45,202.88,32768989
19-11-2024,199.33,205.3,198.78,204.61,31197867
18-11-2024,204.15,204.67,200.95,201.7,36512465
15-11-2024,206.76,207.34,199.61,202.61,86591144
14-11-2024,214.16,215.9,210.88,211.48,42620309
13-11-2024,209.4,215.09,209.14,214.1,46212943
12-11-2024,208.37,209.54,206.01,208.91,38942918
11-11-2024,208.5,209.65,205.59,206.84,35456012
08-11-2024,209.72,209.9633,207.44,208.18,36075846
07-11-2024,207.44,212.25,207.19,210.05,52878383
06-11-2024,200.01,207.55,199.14,207.09,72292167
05-11-2024,196.04,199.82,195.99,199.5,30564784
04-11-2024,196.45,197.33,194.3101,195.78,38492062
01-11-2024,199,200.5,197.02,197.93,99687847
31-10-2024,190.51,190.6,185.23,186.4,75146759
30-10-2024,194.695,195.61,192.42,192.73,37707550
29-10-2024,188.58,191.4599,187.815,190.83,35690158
28-10-2024,189.565,190.21,188.21,188.39,27930836
25-10-2024,187.85,190.45,187.53,187.83,29362060
24-10-2024,185.25,187.11,183.86,186.38,21647395
23-10-2024,188.85,189.16,183.69,184.71,31937089
22-10-2024,188.35,191.5201,186.975,189.7,29650593
21-10-2024,188.05,189.46,186.4,189.07,24639393
18-10-2024,187.15,190.74,186.28,188.99,37417670
17-10-2024,188.22,188.94,186,187.53,25039414
16-10-2024,187.05,187.78,185.61,186.89,23456812
15-10-2024,187.63,188.41,184.58,187.69,32178925
14-10-2024,189.78,189.83,187.36,187.54,22614407
11-10-2024,186.63,189.9284,186.3,188.82,25751557
10-10-2024,187.13,188.134,185.83,186.65,27785043
09-10-2024,182.82,185.845,182.05,185.17,26343117
08-10-2024,181.915,183.09,180.92,182.72,26372086
07-10-2024,182.95,183.6,180.25,180.8,42364201
04-10-2024,185.75,187.6,183.6,186.51,41079011
03-10-2024,183.045,183.44,180.875,181.96,30204302
02-10-2024,184.44,186.6,184.04,184.76,23704056
01-10-2024,184.9,186.19,183.4519,185.13,36044906
30-09-2024,187.14,188.49,184.65,186.33,41680400
27-09-2024,190.68,190.9,187.34,187.97,36002316
26-09-2024,194.31,194.53,189.54,191.16,36334854
25-09-2024,193.75,193.9498,192.16,192.53,26391144
24-09-2024,194.27,195.37,190.13,193.96,43478926
23-09-2024,191.64,194.45,190.57,193.88,36993111
20-09-2024,190.23,191.84,187.41,191.6,100378553
19-09-2024,190.04,190.99,188.47,189.87,39543168
18-09-2024,186.45,188.8,185.06,186.43,34448130
17-09-2024,186.85,189.45,186.14,186.88,26091682
16-09-2024,185.29,185.81,183.36,184.89,26065485
13-09-2024,187,188.5,185.91,186.49,26495351
12-09-2024,184.8,187.41,183.54,187,33622483
11-09-2024,180.095,184.99,175.73,184.52,42564698
10-09-2024,177.49,180.5,176.79,179.55,36233796
09-09-2024,174.53,175.85,173.51,175.4,29037362
06-09-2024,177.24,178.38,171.16,171.39,41466537
05-09-2024,175,179.875,174.995,177.89,40170526
04-09-2024,174.48,175.98,172.54,173.33,29682478
03-09-2024,177.55,178.26,175.26,176.25,37817511
30-08-2024,172.78,178.9,172.6,178.5,43429355
