date,open,high,low,close,volume
30-12-2024,588.75,596.9399,585.58,591.24,7025864
27-12-2024,599.41,601.85,589.8,599.81,8084229
26-12-2024,605.48,606.3,598.94,603.35,6091239
24-12-2024,602.715,607.99,599.2849,607.75,4726056
23-12-2024,589.6,601.09,586.25,599.85,10205750
20-12-2024,590.58,603.11,580,585.25,48989390
19-12-2024,610.39,611.52,595,595.57,14958082
18-12-2024,621,627.36,596.32,597.19,17075480
17-12-2024,626.17,632.37,616.54,619.44,12897842
16-12-2024,629.975,631.15,618.58,624.24,10885625
13-12-2024,627.22,631.08,616.886,620.35,8453349
12-12-2024,631.5,636.6599,627.2094,630.79,7474717
11-12-2024,623.37,638.4,621.5349,632.68,10837228
10-12-2024,617.56,625.59,612.74,619.32,10938854
09-12-2024,623.925,626.4,606.1701,613.57,11426015
06-12-2024,610.1,629.7899,608.53,623.77,16935503
05-12-2024,617.075,619.9,607.05,608.93,8081212
04-12-2024,612.96,617.78,605.1,613.78,14697006
03-12-2024,595,614.2,591.2501,613.65,14907164
02-12-2024,577.5,594.5,575.57,592.83,12522371
29-11-2024,569,578.46,566.9,574.32,7130519
27-11-2024,574.89,574.98,564.1001,569.2,7200228
26-11-2024,566,577.5,565.2,573.54,10356550
25-11-2024,562.1,572.5915,556.39,565.11,13599830
22-11-2024,563.55,563.8273,554.59,559.14,9164004
21-11-2024,569.52,570,549.05,563.09,11154749
20-11-2024,562.93,566.3499,554.2001,565.52,9797339
19-11-2024,551.86,561.43,550.6,561.09,9522445
18-11-2024,557.04,559.9,550.09,554.4,14346715
15-11-2024,571.22,572.57,551.5,554.08,17712864
14-11-2024,577,580.76,573.01,577.16,11053743
13-11-2024,582.605,585.64,575.17,580,10757583
12-11-2024,588.545,599.66,580.38,584.82,16287724
11-11-2024,586.36,587,576.51,583.17,10209051
08-11-2024,591.54,593.1,584.52,589.34,9415699
07-11-2024,576.89,594.7999,575.21,591.7,14653708
06-11-2024,562.75,573,555.1679,572.05,18305429
05-11-2024,567.305,573.48,566.67,572.43,9775379
04-11-2024,564.1,568.69,557.89,560.68,12064601
01-11-2024,567.605,573.67,562.56,567.16,15303235
31-10-2024,585,589.9,563.01,567.58,26838395
30-10-2024,600.98,601.2,589.38,591.8,26864925
29-10-2024,580.145,593.67,575.398,593.28,13019092
28-10-2024,582,583.7499,574.12,578.16,10925131
25-10-2024,573.935,581.29,571.72,573.25,11337874
24-10-2024,567.125,568.8799,561.52,567.78,7184651
23-10-2024,579.97,585,562.5,563.69,14248419
22-10-2024,574.29,583.53,572.12,582.01,8544463
21-10-2024,576.03,577.2399,569.11,575.16,8171879
18-10-2024,581.1,583.9675,575.25,576.47,7694274
17-10-2024,583.33,584.97,575.2,576.93,8701158
16-10-2024,581.395,582.08,574.03,576.79,11268384
15-10-2024,590.16,590.61,580.143,586.27,9564236
14-10-2024,594.22,600.1,589.96,590.42,8251971
11-10-2024,584.83,591.21,582.71,589.95,8587051
10-10-2024,587.57,590.23,582.52,583.83,7740449
09-10-2024,593.99,594.39,581.61,590.51,9529707
08-10-2024,589.69,593.56,585.97,592.89,7857377
07-10-2024,598.22,602.95,584.04,584.78,12014198
04-10-2024,583.73,596.85,581.43,595.94,14199788
03-10-2024,570.15,583.36,568.73,582.77,11580980
02-10-2024,574.86,576,569.34,572.81,6524650
01-10-2024,577.98,583.04,570.1,576.47,15259274
30-09-2024,567.7,574.68,564.8,572.44,12807206
27-09-2024,570.1,570.8399,564.51,567.36,9398367
26-09-2024,575.73,577.4,562.3501,567.84,14400787
25-09-2024,564.05,576.88,563.72,568.31,16543350
24-09-2024,566.68,567.745,554.19,563.33,12992956
23-09-2024,569.5,573.9799,562.41,564.41,12830669
20-09-2024,560,564.5,556.3001,561.35,22066817
19-09-2024,550,562.07,546.52,559.1,15646951
18-09-2024,537.065,544.2,533.9026,537.95,10323537
17-09-2024,537.6,542.1,530.57,536.315,11690779
16-09-2024,524.54,534.1,517.4,533.28,9527646
13-09-2024,520.34,527.581,517.11,524.62,10321422
12-09-2024,517.05,526.71,515.22,525.6,11993342
11-09-2024,507.01,513.12,495.6,511.83,10782532
10-09-2024,508.16,514.18,500.0278,504.79,9899022
09-09-2024,506.16,511.33,502.08,504.79,11047828
06-09-2024,521.88,524.5849,498.25,500.27,14744521
05-09-2024,511.72,521.6295,511.15,516.86,8640888
04-09-2024,506.07,516.59,504.07,512.74,8255543
03-09-2024,519.64,525.49,508.6176,511.76,12459113
30-08-2024,521.35,523.54,515.2,521.31,9157541
29-08-2024,519.05,527.2,515.6789,518.22,8317424
28-08-2024,517.675,521.085,512.45,516.78,9106077
27-08-2024,518.98,524.01,515.31,519.1,6282720
26-08-2024,527.6,528,514.95,521.12,9584002
23-08-2024,536.92,539.87,525.06,528,11323936
22-08-2024,537,544.23,528.59,531.93,15708292
21-08-2024,527.15,539.4,526.935,535.16,13423292
20-08-2024,528.35,531.09,525.88,526.73,7944391
19-08-2024,526.87,531.66,522.76,529.28,9879713
16-08-2024,531.9,533.66,524.66,527.42,14776684
15-08-2024,531.79,539.77,526.7,537.33,13482141
14-08-2024,528.06,534,523.13,526.76,11444189
13-08-2024,520.01,531.4999,518.15,528.54,13743839
12-08-2024,516.86,518.02,509.1,515.95,9767422
09-08-2024,507.71,518.34,505.7,517.77,13696640
08-08-2024,497.5,509.96,494.72,509.63,16156843
07-08-2024,503.13,510.15,486.86,488.92,20105307
06-08-2024,479,502.56,478.65,494.09,20954959
05-08-2024,451.345,483.48,450.8,475.73,21396191
02-08-2024,489,501.145,476.15,488.14,24044658
01-08-2024,521,527.1709,492.1,497.74,43083082
31-07-2024,471.02,476.5,466.75,474.83,24285777
30-07-2024,467,472.73,456.7,463.19,11390439
29-07-2024,469.88,473.96,465.02,465.71,11339630
26-07-2024,464.195,469.77,459.42,465.7,14222388
25-07-2024,463.26,463.548,442.65,453.41,18240489
24-07-2024,472.305,476.3,460.58,461.27,17649738
23-07-2024,489.84,495.22,487.72,488.69,9455527
22-07-2024,486.575,492.06,483.9,487.4,12023088
19-07-2024,476.06,486.71,475.71,476.79,15149416
18-07-2024,475,479.2393,464.54,475.85,19267160
17-07-2024,479.17,479.17,459.12,461.99,28076595
16-07-2024,501.5,503.9499,485.79,489.79,14075833
15-07-2024,498.63,506.6799,493.37,496.16,12539163
