date,open,high,low,close,volume
30-12-2024,189.8,192.55,189.12,191.24,14264659
27-12-2024,194.95,195.32,190.65,192.76,18891362
26-12-2024,195.15,196.748,194.375,195.6,12057210
24-12-2024,194.84,196.11,193.78,196.11,10403259
23-12-2024,192.62,195.1,190.15,194.63,25675014
20-12-2024,185.78,192.89,185.22,191.41,63462934
19-12-2024,191.625,193.03,188.38,188.51,32265241
18-12-2024,195.22,197,187.74,188.4,34166074
17-12-2024,197.25,201.42,194.98,195.42,43504025
16-12-2024,192.87,199,192.62,196.66,44934901
13-12-2024,191.01,192.73,189.64,189.82,25143495
12-12-2024,195,195.18,191.71,191.96,34817486
11-12-2024,185.31,195.61,184.85,195.4,67894071
10-12-2024,182.845,186.36,181.05,185.17,54813022
09-12-2024,173.96,176.26,173.65,175.37,25389631
06-12-2024,172.03,175.08,171.86,174.71,21462393
05-12-2024,175.36,176.06,172.33,172.64,21356243
04-12-2024,171.145,174.91,171.06,174.37,31615137
03-12-2024,171.49,172.68,170.85,171.34,22248705
02-12-2024,168.765,172.075,168.57,171.49,23789084
29-11-2024,168.5,169.43,167.16,168.95,14257244
27-11-2024,169,169.4832,168.02,169.23,19266511
26-11-2024,167.63,169.82,167.58,169.12,20486720
25-11-2024,166.09,168.63,165.6072,167.65,33135263
22-11-2024,165.85,166.46,163.9,164.76,38604587
21-11-2024,173.9,174.13,163.7,167.63,59734379
20-11-2024,177.34,177.675,173.78,175.98,18997111
19-11-2024,173.72,178.87,173.56,178.12,23434925
18-11-2024,173.42,175.438,172.9,175.3,20206613
15-11-2024,173.73,174.14,171.22,172.49,32504649
14-11-2024,178.28,178.82,174.3218,175.58,31007457
13-11-2024,180.46,180.96,178.54,178.88,23184003
12-11-2024,179.82,182.49,179.39,181.62,25134905
11-11-2024,178.58,180.545,178.47,180.35,17450354
08-11-2024,180.645,180.9,178.08,178.35,22006182
07-11-2024,177.41,181.08,177.19,180.75,25352939
06-11-2024,173.8,176.94,173.5,176.51,33695538
05-11-2024,169.43,170.53,168.84,169.74,18242050
04-11-2024,169.93,170.73,168.011,169.24,21492744
01-11-2024,170.07,172.32,168.88,171.29,31796477
31-10-2024,173.13,176.82,171,171.11,44768981
30-10-2024,180.68,182.02,174.0599,174.46,68890787
29-10-2024,167.73,170.38,167.0896,169.68,42169025
28-10-2024,168.75,168.75,163.95,166.72,32138641
25-10-2024,163.67,165.59,163.42,165.27,19828884
24-10-2024,162.83,163.33,161.01,162.72,22412527
23-10-2024,164.76,165.82,161.925,162.78,18280518
22-10-2024,162.98,165.77,162.98,165.14,16568121
21-10-2024,162.95,164.5,162.62,164.07,20946455
18-10-2024,163.19,164.71,163.08,163.42,19757661
17-10-2024,165.73,166.37,162.76,162.93,21453395
16-10-2024,164.53,165.8,163.74,165.16,16406030
15-10-2024,165.785,167.68,164.625,165.46,20247195
14-10-2024,163.64,166.226,163.4,164.96,19016141
11-10-2024,162.13,163.9,161.235,163.24,15344251
10-10-2024,160.87,163.07,160.395,162.08,14144068
09-10-2024,163.45,164.84,159.74,161.86,31181774
08-10-2024,163.94,164.725,162.87,164.38,23072733
07-10-2024,167.72,168.48,162.75,162.98,22463140
04-10-2024,168.06,168.23,165.48,167.06,19093724
03-10-2024,164.41,166.64,163.923,165.86,15073101
02-10-2024,166.42,167.52,164.73,165.86,17760179
01-10-2024,167.685,169.16,164.58,166.99,28338123
30-09-2024,163.32,166.15,163.26,165.85,20481303
27-09-2024,162.81,165.7,162.6261,163.95,21101307
26-09-2024,163.64,164.08,162.28,162.73,20319336
25-09-2024,161.47,162.81,161.3,161.49,18869199
24-09-2024,163.03,163.2158,160.69,162.29,23332147
23-09-2024,164.35,165.49,161.67,161.85,24150852
20-09-2024,163.5,163.73,162.06,163.59,40896438
19-09-2024,163.71,163.79,161.34,162.14,26587733
18-09-2024,159.86,160.5,158.595,159.81,23677315
17-09-2024,159.02,160.55,158.375,159.32,20715612
16-09-2024,157.31,158.25,156.6,158.06,18379775
13-09-2024,155.43,158.38,155.21,157.46,29591152
12-09-2024,153.8,154.82,152.65,154.69,29695048
11-09-2024,149.92,151.5,147.52,151.16,29607693
10-09-2024,150.45,151.27,148.34,148.66,31118765
09-09-2024,152.51,153.4,147.215,148.71,39260451
06-09-2024,157.3,157.83,150.55,150.92,37912130
05-09-2024,156.3,159.45,155.9805,157.24,18688747
04-09-2024,156.655,159,155.9616,156.45,19197458
03-09-2024,161.72,161.85,156.48,157.36,38945301
30-08-2024,162.615,163.66,161.6925,163.38,22123811
29-08-2024,164.31,165.97,160.25,161.78,19699767
28-08-2024,165.035,165.6,161.5284,162.85,16407444
27-08-2024,165.835,166.4426,164.46,164.68,11821941
26-08-2024,166.38,167.55,164.455,166.16,14190417
23-08-2024,164.72,166.18,163.83,165.62,13955741
22-08-2024,167.26,167.59,163.31,163.8,22493275
21-08-2024,165.15,166.85,164.67,165.85,22901997
20-08-2024,166.9,168.64,166.82,167.18,18341533
19-08-2024,165.28,166.69,164.26,166.67,22416185
16-08-2024,161.47,165.06,161.13,162.96,24208647
15-08-2024,160.5,161.635,159.61,161.3,31524252
14-08-2024,162.4,163.22,157.71,160.37,40591126
13-08-2024,163.41,164.73,162.97,164.16,18551690
12-08-2024,164.35,164.9,161.84,162.29,15895286
09-08-2024,160.01,163.79,159.06,163.67,28602285
08-08-2024,160.51,163.69,160.21,162.03,25578839
07-08-2024,161.25,162.98,158.47,158.94,25138573
06-08-2024,159.33,160.57,156.41,158.29,49004561
05-08-2024,155.5,164.43,154.93,159.25,53630673
02-08-2024,166.44,168.51,164.67,166.66,29130102
01-08-2024,170.25,174.05,168.88,170.76,24531392
31-07-2024,173.24,174.245,170.01,171.54,25729090
30-07-2024,170.24,171.2299,168.44,170.29,18959686
29-07-2024,168.83,170.43,167.99,169.53,20293822
26-07-2024,167.15,168.09,164.06,167,41336886
25-07-2024,172.52,173.42,167.19,167.28,44851973
24-07-2024,173.6,176.19,171.82,172.63,49585203
23-07-2024,182.05,183.61,181.54,181.79,36352714
22-07-2024,180.59,182.7,180.23,181.67,24100345
19-07-2024,178.88,180.29,177.13,177.66,18881885
18-07-2024,181.93,182.5,176.47,177.69,25315727
17-07-2024,182.965,183.55,179.9,181.02,20734071
16-07-2024,187.36,188.68,183.3736,183.92,18290722
15-07-2024,184.92,188.24,184.92,186.53,16474043
12-07-2024,185.08,187.11,184.49,185.07,22898406
11-07-2024,189.845,190.86,185.08,185.57,25625784
10-07-2024,189.15,191.75,189.03,191.18,15952454
09-07-2024,190.31,191.36,188.72,188.98,15141312
08-07-2024,189.895,190.17,187.78,189.03,21035886
05-07-2024,185.855,190.86,185.8,190.6,20967450
03-07-2024,184.85,186.09,184,185.82,10242126
02-07-2024,182.05,185.57,181.56,185.24,17372485
01-07-2024,183.03,183.88,181.3,182.99,16006128
28-06-2024,184.32,185.13,181.96,182.15,29156644
27-06-2024,184.18,186.05,184.02,185.41,18848884
26-06-2024,182.63,184.51,182.48,183.88,19838972
25-06-2024,179.62,184.29,179.42,184.03,23235589
24-06-2024,180.16,180.89,178.67,179.22,18298012
21-06-2024,177,180.85,176.61,179.63,58582743
20-06-2024,175.37,177.29,174.99,176.3,20160085
18-06-2024,177.14,177.385,174.1042,175.09,21869857
17-06-2024,175.46,178.36,174.81,177.24,19618497
14-06-2024,174.22,177.0623,174.15,176.79,18063555
13-06-2024,176.11,176.74,174.88,175.16,20913299
12-06-2024,178.25,180.41,176.11,177.79,27864737
11-06-2024,176.22,176.84,173.7701,176.62,21540582
10-06-2024,174.97,177.06,172.76,175.01,23779218
07-06-2024,177.05,177.87,174.3,174.46,19661399
06-06-2024,175.895,177.15,175.75,176.73,23251013
05-06-2024,175.2,176.645,173.9339,175.41,22068519
04-06-2024,173.28,173.845,171.89,173.79,26879596
03-06-2024,172.54,174.525,171.16,173.17,27459118
31-05-2024,171.86,173.06,169.44,172.5,37638876
30-05-2024,175.2,175.22,171.79,172.11,22958677
29-05-2024,175.43,176.836,174.72,175.9,23388693
28-05-2024,174.45,177.27,174.365,176.4,20572157
24-05-2024,174.98,175.77,173.65,174.99,16579438
23-05-2024,177.07,178.25,172.95,173.55,21024935
22-05-2024,176.644,177.15,175.21,176.38,17880042
21-05-2024,176.9,178.15,175.81,177.85,16989369
20-05-2024,176.192,178.77,176.08,176.92,22554400
17-05-2024,174.18,176.265,173.69,176.06,24479262
16-05-2024,173.29,175.115,172.69,174.18,27867947
15-05-2024,170.63,172.65,170.51,172.51,26948370
14-05-2024,169.77,171.25,168.8,170.34,25127138
13-05-2024,164.26,169.28,164,169.14,31327602
10-05-2024,168.025,169.85,166.19,168.65,29799931
09-05-2024,169.39,170.69,168.18,169.96,15346700
08-05-2024,169,170.15,168.735,169.38,19569146
07-05-2024,168.5,171.76,168.39,171.25,28039696
06-05-2024,167.46,168.14,166.03,168.1,21871283
03-05-2024,167.56,167.96,163.05,167.24,34662432
02-05-2024,164.785,166.73,163.89,166.62,24294549
01-05-2024,164.3,167.12,163.09,163.86,33493151
30-04-2024,165.612,168.1,162.6,162.78,33562861
29-04-2024,169.058,169.55,165.21,166.15,45610024
26-04-2024,174.37,174.71,169.65,171.95,64665299
25-04-2024,151.33,156.49,150.87,156,57109730
24-04-2024,157.49,159.565,157.165,159.13,22779112
23-04-2024,156.96,158.97,156.28,158.26,21151568
22-04-2024,154.31,157.64,154.06,156.28,26446206
19-04-2024,156.2,156.36,152.3,154.09,32615639
18-04-2024,155.34,156.94,154.62,156.01,19883044
17-04-2024,155.62,157.08,154.58,155.47,21763130
16-04-2024,154.19,155.65,153.43,154.4,20779495
15-04-2024,158.86,159.24,154.59,154.86,27136472
12-04-2024,157.96,160.2225,157.14,157.73,25353746
11-04-2024,156.91,159.68,156.46,159.41,27166431
10-04-2024,156.21,156.61,154.68,156.14,22838629
09-04-2024,156.085,158.56,155.19,156.6,30739691
08-04-2024,152.78,155.27,152.61,154.85,20577435
05-04-2024,150.03,153.42,149.6,152.5,23328522
04-04-2024,153.5,154.77,150.45,150.53,34468227
03-04-2024,153.6,155.08,152.73,154.92,23884801
02-04-2024,153.5,154.7,152.15,154.56,24491676
01-04-2024,150.69,155.74,150.61,155.49,31308247
28-03-2024,150.85,151.43,150.17,150.93,24485390
27-03-2024,151.18,151.635,148.9,150.87,22879178
26-03-2024,150.22,152.256,149.98,150.67,22149137
25-03-2024,149.94,150.375,147.82,150.07,19229285
22-03-2024,149.12,151.58,148.98,150.77,29211769
21-03-2024,149.47,150.37,146.9001,147.6,24755597
20-03-2024,148,148.86,146.735,148.74,21311501
19-03-2024,148.16,148.7913,146.08,147.03,24070435
18-03-2024,148.61,152.15,147.17,147.68,69273699
15-03-2024,142.5,143.18,140.03,141.18,49475417
14-03-2024,141.19,143.585,140.455,143.1,42570686
13-03-2024,139,141.09,138.99,139.79,23164162
12-03-2024,137.03,139.375,137.03,138.5,27353587
11-03-2024,136.13,139.1,136.13,137.67,31677211
08-03-2024,134.21,138.085,134,135.41,39370392
07-03-2024,132.795,134.94,131.61,134.38,37738209
06-03-2024,133.12,133.58,130.85,131.4,35318610
05-03-2024,131.88,133.24,130.665,132.67,40194757
04-03-2024,135.66,135.66,131.91,133.35,55999415
01-03-2024,138.43,138.87,136.92,137.14,31151116
29-02-2024,137.28,138.86,136.4,138.46,42132953
28-02-2024,137.9,138.01,135.41,136.38,37328558
27-02-2024,138.02,139.25,137.09,138.88,33099190
26-02-2024,142.14,142.44,137.39,137.57,53641795
23-02-2024,143.67,144.68,143.43,143.96,19493752
22-02-2024,144.93,145,142.8,144.09,27191892
21-02-2024,141.45,142.69,140.675,142.55,23315687
20-02-2024,139.655,142.08,139.49,141.12,24935710
16-02-2024,142.99,143.19,140.14,140.52,31468926
15-02-2024,143.14,143.52,140.46,142.77,37590695
14-02-2024,146.08,146.52,144.094,145.94,22704166
13-02-2024,144.92,146.67,143.69,145.14,27837730
12-02-2024,148.42,149.335,147.37,147.53,21564085
09-02-2024,146.68,149.44,146.18,149,26829504
08-02-2024,145.83,146.33,145.105,145.91,22563764
07-02-2024,144.76,145.615,143.925,145.54,25208862
06-02-2024,144.65,145.36,143.19,144.1,29128201
05-02-2024,142.82,145.47,142.78,143.68,38505405
02-02-2024,139.26,142.62,136.5,142.38,62499574
01-02-2024,142.12,143.06,140.79,141.16,40466549
31-01-2024,143.62,144,139.87,140.1,71910044
30-01-2024,152.8,153.62,151.185,151.46,36331833
29-01-2024,152.06,153.78,151.43,153.51,27784259
26-01-2024,151.1,152.535,151.01,152.185,26115494
25-01-2024,150.065,153.05,149.54,151.87,29149069
24-01-2024,148.54,149.855,148.1,148.7,25155644
23-01-2024,145.89,147.182,145.5,147.04,21636129
22-01-2024,147.1,148.39,145.84,145.99,32200369
19-01-2024,144.74,146.45,144.38,146.38,34271867
18-01-2024,142.05,144.21,141.99,143.48,25746417
17-01-2024,141.345,141.84,138.9,141.47,20968649
16-01-2024,142,144.35,141.45,142.49,22670467
12-01-2024,142.67,143.195,141.82,142.65,18785514
11-01-2024,143.49,145.22,140.635,142.08,24008722
10-01-2024,141,143,140.91,142.28,21320203
09-01-2024,138.5,141.485,138.15,140.95,24759598
08-01-2024,136.29,139.01,136.26,138.84,21403982
05-01-2024,136.745,137.1558,135.15,135.73,21661914
04-01-2024,138.42,139.16,136.35,136.39,27137735
03-01-2024,137.25,139.63,137.08,138.92,24212147
02-01-2024,138.55,139.45,136.48,138.17,23711220
29-12-2023,139.63,140.36,138.78,139.69,18733017
28-12-2023,140.78,141.14,139.75,140.23,16045712
27-12-2023,141.59,142.08,139.886,140.37,19567216
26-12-2023,141.59,142.68,141.19,141.52,16780333
22-12-2023,140.77,141.99,140.71,141.49,26532199
21-12-2023,139.49,140.685,139.18,140.42,27488284
20-12-2023,138.97,141.695,138.065,138.34,49107179
19-12-2023,136.84,137.47,136.08,136.65,25436155
18-12-2023,132.63,137.1478,132.43,135.8,32257967
15-12-2023,131.62,133.51,131.18,132.6,50847113
14-12-2023,133.38,133.72,129.685,131.94,38722413
13-12-2023,133.38,133.5,131.57,132.57,30104775
12-12-2023,131.81,133,131.26,132.52,29032831
11-12-2023,132.38,133.335,131.36,133.29,31138011
08-12-2023,134.2,136.4,134.025,134.99,32260112
07-12-2023,135.04,138.56,134.7,136.93,56767100
06-12-2023,131.44,131.84,129.875,130.02,22897543
05-12-2023,128.95,132.14,128.25,130.99,27384784
04-12-2023,129.88,130.03,127.9,129.27,36669876
01-12-2023,131.86,132.11,130.665,131.86,31442263
30-11-2023,135.05,135.55,131.28,132.53,38988263
29-11-2023,137.57,138.288,134.84,134.99,23967222
28-11-2023,136.08,137.25,135.4222,137.2,18730032
27-11-2023,136.03,138.42,136,136.41,23436526
24-11-2023,138.03,138.13,135.99,136.69,12514322
22-11-2023,137.47,139.42,137.47,138.49,17820456
21-11-2023,136.29,137.18,135.96,136.97,22635272
20-11-2023,133.69,136.66,133.62,136.25,27850762
17-11-2023,136,136.06,133.65,135.31,37287691
16-11-2023,135.19,137.2199,134.32,136.93,28013179
15-11-2023,134.87,135.03,133.57,134.62,23861515
14-11-2023,134.19,135.7,133.32,133.62,32395178
13-11-2023,131.78,132.59,131.25,132.09,18324751
10-11-2023,130.105,132.8,129.41,132.59,26927826
09-11-2023,131.96,132.55,130.065,130.24,23747773
08-11-2023,130.97,132.21,130.78,131.84,26425849
07-11-2023,130.71,131.91,129.88,130.97,29757276
06-11-2023,129.05,130.34,128.67,130.25,19052740
03-11-2023,128.02,129.525,127.86,129.1,26393109
02-11-2023,128.42,128.98,126.93,127.49,27124647
01-11-2023,124.07,126.49,123.715,126.45,30082438
31-10-2023,125.06,125.37,122.685,124.08,26292342
30-10-2023,123.21,125.4,122.75,124.46,28940081
27-10-2023,122.88,123.31,120.2057,122.17,44566506
26-10-2023,123.27,124.3297,121.27,122.28,57061140
25-10-2023,128.16,128.31,125.07,125.61,84366208
24-10-2023,137.83,139.3599,137.42,138.81,44814321
