date,open,high,low,close,volume
30-12-2024,220.54,221.5942,217.6523,220.25,2095565
27-12-2024,223.14,224.42,221.4054,222.78,1810760
26-12-2024,223.31,225.4,222.55,224.89,3287238
24-12-2024,222.27,224.4446,221.5428,224.41,1186216
23-12-2024,222.81,223.74,221.08,221.93,2988137
20-12-2024,222.73,227.6847,221.68,223.36,12423200
19-12-2024,224.42,226.2,222.98,223.92,4430120
18-12-2024,229.035,229.035,220.03,220.17,4152517
17-12-2024,229.23,230.2,227.62,228.97,3651346
16-12-2024,230.73,231.03,226.88,229.33,3610257
13-12-2024,232.25,233.775,230.26,230.82,2757683
12-12-2024,230.66,233.89,230.38,232.26,4515741
11-12-2024,232.69,233,229.13,230.12,3872680
10-12-2024,228.4,234.39,227.8,231.72,4769531
09-12-2024,238,239.35,228.91,230,4970449
06-12-2024,234.43,238.38,234.22,238.04,4028430
05-12-2024,233.55,236.52,233.46,234.75,4791116
04-12-2024,230,233.74,229.35,233.49,4104195
03-12-2024,227.24,229.11,226.67,229,3163815
02-12-2024,227.5,228.38,225.51,227.39,2656181
29-11-2024,227.75,230.36,227.19,227.41,2640253
27-11-2024,228.83,229.19,224.27,226.92,2995121
26-11-2024,226.73,228.98,225.5115,228.83,4449543
25-11-2024,223.35,226.42,222.65,226.13,7189260
22-11-2024,223.35,227.2,220.89,222.97,5320740
21-11-2024,215.81,222.63,215.2701,222.4,5236434
20-11-2024,211,214.96,209.7725,214.6,4562901
19-11-2024,206.5,210.33,206.19,210.25,2860746
18-11-2024,207,208.415,205.3701,208.09,3406045
15-11-2024,207.46,208.49,204.07,204.99,3986460
14-11-2024,210,210.4999,206.35,208.99,6372853
13-11-2024,209.5,211.41,209.0701,210.92,3247830
12-11-2024,211.9,213.03,209.06,210.86,2818216
11-11-2024,214.4,215.41,213.48,213.57,3012987
08-11-2024,214.16,216.7,212.7809,213.72,3201038
07-11-2024,213.64,214.5199,211.93,213.69,3675812
06-11-2024,213.48,214.33,210.37,213.6,3934386
05-11-2024,206.17,208.115,205.57,207.57,2441535
04-11-2024,207.65,207.7,205.8,206.32,2594119
01-11-2024,207.77,209.84,207.41,208.25,3334308
31-10-2024,204.13,208.13,203.51,206.72,5925250
30-10-2024,209.48,211.12,204.26,204.9,6956624
29-10-2024,211.99,213.34,209.85,210.43,5258366
28-10-2024,215.5,216.25,212.7,212.91,4993343
25-10-2024,216.8,218.65,214.385,214.67,8482235
24-10-2024,220.8,221.32,216.16,218.39,11193440
23-10-2024,230.41,233.34,230.26,232.75,5791002
22-10-2024,231.99,232.97,230.67,232.25,3180807
21-10-2024,231.21,232.42,230.26,231.75,2733336
18-10-2024,231.92,232.6499,230.17,232.2,4715688
17-10-2024,232,233.145,230.655,232.88,5040092
16-10-2024,232.11,233.88,231.12,233.67,2846669
15-10-2024,236.4,237.37,232.71,232.96,3350556
14-10-2024,233.57,236.12,233.17,235.26,2524389
11-10-2024,233.25,233.44,230.46,233.26,3469322
10-10-2024,235.1,235.83,231.81,233.02,3142031
09-10-2024,229.2,234.95,228.5,234.3,5083566
08-10-2024,228.11,229.345,227.0401,228.62,3245342
07-10-2024,225.38,227.67,225.02,227.12,3457952
04-10-2024,223.75,226.08,223.27,226,3554328
03-10-2024,219.5,222.83,219.27,222.72,3788265
02-10-2024,218.31,220.2,215.798,219.73,3343399
01-10-2024,220.63,221.1,215.9,219.35,3548374
30-09-2024,220.65,221.32,219.02,221.08,3544264
27-09-2024,223,224.15,220.77,220.84,3830335
26-09-2024,222.11,224,221.355,223.43,2673210
25-09-2024,221.17,221.85,220.16,221.23,2537751
24-09-2024,219.78,221.19,218.16,220.97,3184114
23-09-2024,218,220.62,217.27,220.5,4074755
20-09-2024,214.33,217.85,213.74,217.7,9958980
19-09-2024,218.01,218.48,210.37,213.89,5279559
18-09-2024,214.13,216.86,213.59,214.94,3482764
17-09-2024,217.25,218.84,213,214.13,5635210
16-09-2024,215.88,217.9,215.52,217.16,4176257
13-09-2024,212.48,216.09,212.13,214.79,4572344
12-09-2024,210,212.65,208.265,211.61,4616446
11-09-2024,207.76,210.12,203.04,209.89,5554309
10-09-2024,204.2,205.83,202.87,205.32,3070644
09-09-2024,201.94,205.05,201.43,203.53,3705004
06-09-2024,202.38,204.1,199.335,200.74,3304491
05-09-2024,204.08,205.95,200.96,202.59,3229345
04-09-2024,200.76,204.36,200.5,204.11,3111332
03-09-2024,201.91,204.72,200.21,201.28,3874697
30-08-2024,199.11,202.17,198.73,202.13,4750999
29-08-2024,199.3,201.12,198.27,198.9,2989594
28-08-2024,199,200,197.49,198.46,2645244
27-08-2024,197.44,199.4,196.97,198.73,2617229
26-08-2024,196,198.345,195.9,197.98,2567217
23-08-2024,196.79,197.38,194.39,196.1,2321961
22-08-2024,197.25,197.92,195.57,195.96,1969496
21-08-2024,195.97,197.33,194.115,197.21,2579343
20-08-2024,194.59,196.21,193.75,196.03,1790371
19-08-2024,193.84,195.525,193.715,194.73,2361378
16-08-2024,193.58,194.35,192.86,193.78,2494472
15-08-2024,193.51,194.25,193.28,193.95,2471985
14-08-2024,191.15,193.09,190.73,192.32,1895114
13-08-2024,190.29,191.31,189.21,190.99,2178862
12-08-2024,191.25,191.5761,189.0001,189.48,2290421
09-08-2024,191.18,192.63,189.04,191.45,2773706
08-08-2024,187.5,192.88,187,192.61,3712698
07-08-2024,188.08,189.87,186.7,186.8,3801942
06-08-2024,184.7,188.9,183.64,186.8,3632517
05-08-2024,184.55,185.255,181.81,183.31,4975002
02-08-2024,188.78,189.26,185.7,189.12,4548824
01-08-2024,192.81,193.635,188.29,189.66,4085354
31-07-2024,191,194.5499,189.99,192.14,5558405
30-07-2024,191.48,192.77,189.09,191.04,3064978
29-07-2024,193.18,193.29,189.18,191.5,3336806
26-07-2024,190.51,193.57,189.622,191.75,4294875
25-07-2024,186.8,196.26,185.3,191.98,9532802
24-07-2024,184.14,185.0714,183.145,184.02,6962071
23-07-2024,184.36,185.38,183.01,184.1,2180225
22-07-2024,183.4,184.97,182.86,184.15,2488525
19-07-2024,186.33,187,181.95,183.25,3816039
18-07-2024,186.64,189.47,185.1,185.22,3487808
17-07-2024,185.44,187.94,185.07,187.45,4225302
16-07-2024,184.67,186.6,184.52,185.81,3374526
15-07-2024,183.38,184.9,182.6,182.88,2925794
12-07-2024,178.56,184.16,178.5,182.83,4785565
11-07-2024,177.65,179.44,176.62,178.31,2807145
10-07-2024,176.6,178.22,174.45,177.84,3462182
09-07-2024,177.6,177.7,175.58,176.48,2513305
08-07-2024,176.41,178.59,176.01,177.64,2503038
