date,open,high,low,close,volume
30-12-2024,22.22,22.22,21.89,22.1,4830878
27-12-2024,22.59,22.7,22.3,22.48,4340265
26-12-2024,22.64,22.755,22.595,22.64,3440353
24-12-2024,22.58,22.815,22.55,22.77,2051553
23-12-2024,22.73,22.84,22.51,22.78,3622989
20-12-2024,22.63,22.97,22.44,22.73,12356790
19-12-2024,23.18,23.62,23.1,23.42,9178696
18-12-2024,23.13,23.29,22.62,22.65,6070959
17-12-2024,23.33,23.38,23.12,23.13,3890608
16-12-2024,23.35,23.58,23.305,23.35,9862063
13-12-2024,23.52,23.63,23.28,23.4,4443501
12-12-2024,23.37,23.47,23.15,23.25,5750965
11-12-2024,23.24,23.51,23.19,23.36,6193552
10-12-2024,23.13,23.375,22.96,23.24,6600941
09-12-2024,23.01,23.41,23.005,23.16,6292039
06-12-2024,22.88,22.98,22.8,22.86,4709626
05-12-2024,22.76,23.085,22.75,22.86,5984700
04-12-2024,22.34,22.605,22.265,22.52,5866435
03-12-2024,22.29,22.395,22.03,22.12,8215926
02-12-2024,22.11,22.28,22.005,22.2,5836275
29-11-2024,22.14,22.24,22,22.07,5620906
27-11-2024,23.01,23.12,22.57,22.74,9141186
26-11-2024,22.94,23.2,22.9,23.18,7339629
25-11-2024,22.48,22.88,22.45,22.84,11805863
22-11-2024,22.41,22.81,22.3,22.79,8678693
21-11-2024,21.82,22.04,21.77,21.96,6121492
20-11-2024,22,22.025,21.795,21.99,7812632
19-11-2024,21.43,21.95,21.43,21.73,6033076
18-11-2024,21.33,21.665,21.27,21.6,4816443
15-11-2024,21.71,21.75,21.37,21.53,7650501
14-11-2024,21.94,22.03,21.81,21.82,6169215
13-11-2024,21.98,22.055,21.8,22.04,5432199
12-11-2024,22.02,22.17,21.99,22.02,3849030
11-11-2024,21.88,22.13,21.77,22.04,6092213
08-11-2024,21.66,22,21.66,21.75,7742961
07-11-2024,21.44,21.66,21.34,21.65,12341121
06-11-2024,21.51,21.6,21.2,21.4,17779873
05-11-2024,20.78,20.81,20.66,20.71,9558368
04-11-2024,20.76,20.88,20.65,20.72,11937305
01-11-2024,20.88,21.035,20.76,20.76,9285521
31-10-2024,21.04,21.08,20.865,20.91,8615147
30-10-2024,21.52,21.56,21.11,21.12,8486943
29-10-2024,21.68,21.97,21.625,21.77,8789379
28-10-2024,22.21,22.22,22.05,22.07,3887264
25-10-2024,22.05,22.09,21.87,21.89,6572848
24-10-2024,22.21,22.315,22.015,22.05,7199903
23-10-2024,22.18,22.37,22.11,22.21,4532125
22-10-2024,22.05,22.25,22.05,22.16,5733904
21-10-2024,21.99,22.28,21.98,22.2,10411855
18-10-2024,22.39,22.54,22.22,22.51,11307580
17-10-2024,22.18,22.73,22.015,22.66,16539055
16-10-2024,22.76,22.93,22.7,22.9,13868475
15-10-2024,23.18,23.275,22.971,23.02,10562734
14-10-2024,23.28,23.45,23.2,23.36,7099991
11-10-2024,22.83,22.99,22.78,22.93,5065625
10-10-2024,22.63,22.73,22.445,22.65,7666008
09-10-2024,23.32,23.38,23.21,23.27,4269535
08-10-2024,23.14,23.36,23.08,23.32,7722532
07-10-2024,22.73,23.07,22.72,22.91,7549472
04-10-2024,22.61,22.875,22.59,22.79,9260993
03-10-2024,22.19,22.43,22.19,22.41,7816940
02-10-2024,22.36,22.44,22.165,22.32,5273097
01-10-2024,22.42,22.52,22.27,22.39,8366494
30-09-2024,22.28,22.42,22.075,22.27,11576921
27-09-2024,22.62,22.699,22.34,22.39,9702217
26-09-2024,23.05,23.26,22.86,22.96,10927916
25-09-2024,22.51,22.61,22.445,22.56,9151512
24-09-2024,22.62,22.72,22.46,22.58,7015458
23-09-2024,22.72,22.73,22.49,22.69,4900501
20-09-2024,22.64,22.9,22.61,22.85,21841075
19-09-2024,22.73,22.81,22.615,22.69,6281332
18-09-2024,22.48,22.7,22.385,22.48,7051691
17-09-2024,23.28,23.42,22.815,22.97,10352734
16-09-2024,23.2,23.29,23.05,23.19,6747266
13-09-2024,23.27,23.33,23.15,23.2,5273419
