date,open,high,low,close,volume
30-12-2024,426.06,427.55,421.9,424.83,13158703
27-12-2024,434.6,435.22,426.35,430.53,18117713
26-12-2024,439.08,440.94,436.63,438.11,8199927
24-12-2024,434.65,439.6,434.19,439.33,7164543
23-12-2024,436.74,437.65,432.83,435.25,19152519
20-12-2024,433.11,443.74,428.63,436.6,64263694
19-12-2024,441.62,443.1834,436.32,437.03,22963681
18-12-2024,451.32,452.65,437.02,437.39,24444545
17-12-2024,451.01,455.29,449.57,454.46,22733494
16-12-2024,447.27,452.18,445.28,451.59,23598834
13-12-2024,448.435,451.43,445.58,447.27,20177833
12-12-2024,449.11,456.1648,449.11,449.56,20834779
11-12-2024,444.05,450.35,444.05,448.99,19200208
10-12-2024,444.39,449.62,441.6,443.33,18469459
09-12-2024,442.6,448.33,440.5,446.02,19144388
06-12-2024,442.3,446.1,441.7703,443.57,18821002
05-12-2024,437.92,444.66,436.171,442.62,21697775
04-12-2024,433.03,439.67,432.63,437.42,26009429
03-12-2024,429.84,432.47,427.74,431.2,18301987
02-12-2024,421.57,433,421.31,430.98,20207223
29-11-2024,420.09,424.88,417.8,423.46,16271921
27-11-2024,425.105,427.2299,422.02,422.99,18332444
26-11-2024,419.585,429.0414,418.85,427.99,23458889
25-11-2024,418.38,421.08,414.85,418.79,27691090
22-11-2024,411.365,417.4,411.06,417,24814626
21-11-2024,419.5,419.78,410.2887,412.87,20780162
20-11-2024,416.87,417.29,410.58,415.49,19191655
19-11-2024,413.11,417.94,411.55,417.79,18133529
18-11-2024,414.87,418.4037,412.1,415.76,24742013
15-11-2024,419.82,422.8,413.64,415,28247644
14-11-2024,425,428.17,420,426.89,30246881
13-11-2024,421.64,429.325,418.21,425.2,21502185
12-11-2024,418.25,424.44,417.2,423.03,19401204
11-11-2024,422.515,424.81,416,418.01,24503321
08-11-2024,425.32,426.5,421.78,422.54,16891414
07-11-2024,421.28,426.85,419.88,425.43,19901782
06-11-2024,412.42,420.45,410.52,420.18,26681842
05-11-2024,408.37,414.9,408.08,411.46,17626011
04-11-2024,409.8,410.415,405.5713,408.46,19672286
01-11-2024,409.01,415.5,407.5,410.37,24230442
31-10-2024,415.36,416.16,406.3,406.35,53970981
30-10-2024,437.435,438.5,432.1,432.53,29749149
29-10-2024,428,433.17,425.8001,431.95,17644080
28-10-2024,431.655,431.94,426.3,426.59,14882444
25-10-2024,426.76,432.52,426.565,428.15,16899064
24-10-2024,425.325,425.9782,422.4,424.73,13581631
23-10-2024,430.855,431.08,422.53,424.6,19654379
22-10-2024,418.49,430.5793,418.04,427.51,25482197
21-10-2024,416.12,418.96,413.7501,418.78,14206115
18-10-2024,417.14,419.65,416.2601,418.16,17145317
17-10-2024,422.36,422.5,415.59,416.72,14820004
16-10-2024,415.17,416.36,410.48,416.12,15508932
15-10-2024,422.18,422.48,415.26,418.74,18900201
14-10-2024,417.77,424.04,417.52,419.14,16653086
11-10-2024,416.135,417.13,413.25,416.32,14144944
10-10-2024,415.225,417.35,413.15,415.84,13848376
09-10-2024,415.86,420.38,414.3,417.46,14974257
08-10-2024,410.9,415.66,408.17,414.71,19229261
07-10-2024,416,417.11,409,409.54,20919761
04-10-2024,418.24,419.75,414.97,416.06,19190913
03-10-2024,417.63,419.55,414.29,416.54,13686421
02-10-2024,422.58,422.82,416.71,417.13,16582257
01-10-2024,428.45,428.48,418.81,420.69,19092945
30-09-2024,428.21,430.42,425.37,430.3,16854606
27-09-2024,431.52,431.85,427.47,428.02,14896131
26-09-2024,435.085,435.3,429.13,431.31,14492044
25-09-2024,429.83,433.119,428.57,432.11,13396364
24-09-2024,433,433.35,426.1,429.17,17015754
23-09-2024,434.28,436.46,430.3889,433.51,15128891
20-09-2024,437.22,439.24,434.22,435.27,55167106
19-09-2024,441.225,441.5,436.9,438.69,21706559
18-09-2024,435,436.03,430.41,430.81,18898042
17-09-2024,440.23,441.85,432.27,435.15,18874231
16-09-2024,430.6,433.53,428.22,431.34,13834697
13-09-2024,425.825,431.83,425.46,430.59,15874555
12-09-2024,423.31,427.3692,419.75,427,17418759
11-09-2024,415.5,423.99,409.58,423.04,19266923
10-09-2024,408.2,416.33,407.7,414.2,19594287
09-09-2024,407.24,408.65,402.15,405.72,15295134
06-09-2024,409.06,410.65,400.8,401.7,19609526
05-09-2024,407.62,413.1,406.13,408.39,14195516
04-09-2024,405.91,411.24,404.37,408.9,14886710
03-09-2024,417.91,419.88,407.03,409.44,20313603
30-08-2024,415.6,417.49,412.13,417.14,24308324
29-08-2024,414.94,422.05,410.6,413.12,17045241
28-08-2024,414.88,415,407.31,410.6,14882660
27-08-2024,412.86,414.36,410.25,413.84,13492911
26-08-2024,416.365,417.2799,411.34,413.49,13152830
23-08-2024,416.98,419.26,412.09,416.79,18493784
22-08-2024,424.36,426.7899,414.61,415.55,19361901
21-08-2024,424.075,426.4,421.72,424.14,16067298
20-08-2024,421.7,425.86,421.64,424.8,16387581
19-08-2024,418.96,421.75,416.46,421.53,15233957
16-08-2024,420.6,421.34,417.3,418.47,22775593
15-08-2024,419.8,421.11,417.66,421.03,20752144
14-08-2024,414.8,417.72,412.4456,416.86,18266980
13-08-2024,409.59,414.95,409.57,414.01,19414271
12-08-2024,407.06,408.76,404.2434,406.81,16762883
09-08-2024,404.03,408.05,402.2624,406.02,19276666
