date,open,high,low,close,volume
30-12-2024,0.2002,0.4119,0.1667,0.3,5342
27-12-2024,0.17,0.3999,0.105,0.2001,295498
26-12-2024,0.1811,0.2088,0.155,0.155,113556
24-12-2024,0.2083,0.2088,0.1761,0.2,94896
09-12-2024,2.19,2.84,2.01,2.65,348229
06-12-2024,2.01,2.38,2.01,2.16,184186
05-12-2024,2.3,2.42,1.9,2.02,280577
04-12-2024,2.42,3.39,2.32,2.37,921487
03-12-2024,2.49,2.51,1.79,2.36,517582
02-12-2024,3.5,3.5,2.45,2.55,315646
29-11-2024,3.45,3.5,3.18,3.5,88711
27-11-2024,3.68,3.68,3.32,3.44,102701
26-11-2024,3.84,3.84,3.4807,3.61,69262
25-11-2024,4.12,4.22,3.71,3.81,81625
22-11-2024,3.86,4.1988,3.73,3.97,83019
21-11-2024,3.9,4.34,3.685,3.88,161951
20-11-2024,4.23,4.48,4.05,4.31,122478
19-11-2024,4.11,4.37,4,4.29,74334
18-11-2024,4.5,4.5,4.1,4.13,129022
15-11-2024,5.29,5.35,4.36,4.39,144106
14-11-2024,5.41,5.66,5.15,5.17,114265
13-11-2024,5,5.5,4.73,5.44,276046
12-11-2024,4.5,5,4.47,4.73,118293
11-11-2024,4.41,4.71,4.36,4.51,91341
08-11-2024,4.47,4.6146,4.33,4.36,40176
07-11-2024,4.43,4.7441,4.23,4.54,91286
06-11-2024,4.75,4.86,4.301,4.49,111279
05-11-2024,4.52,5.1,4.32,4.86,103578
04-11-2024,4.56,4.98,4.36,4.64,199650
01-11-2024,4.71,4.89,4.22,4.5,295976
31-10-2024,5.39,5.5,3.5,4.64,1265043
30-10-2024,8.03,8.03,4.8032,5.24,1106299
29-10-2024,9.97,9.97,8.3,8.39,171658
28-10-2024,9.39,10.23,9.15,9.58,114883
25-10-2024,10.1,10.8,9.37,9.57,89248
24-10-2024,10.78,11.19,9.53,10.25,152373
23-10-2024,12,12.4141,10.865,11.13,114045
22-10-2024,12.15,12.49,11.8,12,103852
21-10-2024,11.79,12.27,11.31,12.07,78674
18-10-2024,11.42,12.835,11.42,12,127303
17-10-2024,12.18,12.2799,11.39,11.8,78694
16-10-2024,13.76,13.855,11.82,12,359374
15-10-2024,13.56,13.56,10.44,10.7,139803
14-10-2024,16.92,18.6384,13.165,13.36,177576
11-10-2024,10.44,18.185,10.44,17.18,457333
10-10-2024,10.69,10.73,9.6952,10.17,47913
09-10-2024,9.15,10.94,9.15,10.87,87525
08-10-2024,10.08,10.43,8.61,9.23,53778
07-10-2024,8,10.77,7.55,10.17,269806
04-10-2024,8.02,8.02,7.57,7.6896,13805
03-10-2024,8.82,8.925,7.6572,7.87,63634
02-10-2024,9.31,9.33,8.8,8.93,73092
01-10-2024,9.09,9.35,8.895,9.07,7278
30-09-2024,9.5,9.5,8.87,9.26,93250
27-09-2024,9.75,9.9899,9.29,9.34,44935
26-09-2024,10,10.2,9.2301,9.64,44025
25-09-2024,11.73,11.73,9.53,9.8,84764
24-09-2024,12.13,12.36,11.71,11.86,14438
23-09-2024,12.41,12.41,11.8701,11.99,46184
20-09-2024,14.62,15.54,11.645,12.22,84093
19-09-2024,14.6,15.6,14.0832,14.8,58716
18-09-2024,13.55,14.8368,13.2373,14.18,75468
17-09-2024,12.5,13.89,11.7,13.73,57324
16-09-2024,10.11,13.97,9.5,12.48,188999
13-09-2024,10.11,10.49,9.9,10.03,11889
12-09-2024,10.25,10.5799,9.8555,10.14,15169
11-09-2024,9.92,10.355,9.8,10.27,8431
10-09-2024,10.45,10.45,9.01,9.92,31195
09-09-2024,10.55,10.68,10.03,10.37,10274
06-09-2024,11.4,11.53,10.47,10.69,11102
05-09-2024,11.76,11.76,11.13,11.39,25694
04-09-2024,12.75,13.4,11.36,11.42,86300
03-09-2024,0.83,1.005,0.65,0.8984,3005481
30-08-2024,0.8,0.8225,0.7805,0.8136,180614
29-08-2024,0.9003,0.92,0.77,0.8038,674923
28-08-2024,1.03,1.03,0.97,0.9702,379127
27-08-2024,1.11,1.1257,1,1.04,372947
26-08-2024,1.01,1.29,0.97,1.12,1904747
23-08-2024,0.96,1.04,0.9401,0.9869,202682
22-08-2024,0.97,1.01,0.8552,0.96,764546
21-08-2024,0.9378,1.06,0.9079,0.9635,1044893
20-08-2024,0.947,0.95,0.8901,0.9315,228032
19-08-2024,0.7822,0.95,0.7822,0.8905,456281
16-08-2024,0.813,0.82,0.79,0.7972,175361
15-08-2024,0.77,0.844,0.77,0.8059,192469
14-08-2024,0.855,0.8599,0.8202,0.8203,235890
13-08-2024,0.7901,0.85,0.7801,0.8283,240941
12-08-2024,0.83,0.8743,0.7846,0.7846,295352
09-08-2024,0.86,0.8999,0.8056,0.8286,184816
08-08-2024,0.89,0.9564,0.85,0.8549,236748
07-08-2024,0.915,1.011,0.85,0.8609,993410
06-08-2024,1.09,1.37,1.08,1.15,2989008
05-08-2024,0.7453,1.23,0.7411,1.15,3213548
02-08-2024,0.8367,0.846,0.7686,0.8261,395059
01-08-2024,0.8532,0.88,0.8256,0.85,278394
31-07-2024,0.91,0.937,0.845,0.8796,486581
30-07-2024,0.9201,0.95,0.88,0.8977,675825
29-07-2024,1.19,1.37,0.902,0.974,3989326
26-07-2024,1.04,1.29,0.9111,1.2,4416167
25-07-2024,0.5741,1.44,0.56,1.05,59117498
24-07-2024,0.54,0.6093,0.5307,0.5649,406138
23-07-2024,0.5574,0.5621,0.521,0.5559,217046
22-07-2024,0.61,0.61,0.5374,0.5479,337467
19-07-2024,0.5782,0.5962,0.5238,0.5456,112374
18-07-2024,0.5754,0.6,0.531,0.5401,111537
17-07-2024,0.58,0.5976,0.5391,0.5627,363574
16-07-2024,0.53,0.59,0.5257,0.5816,193010
15-07-2024,0.57,0.58,0.5304,0.533,193471
12-07-2024,0.56,0.56,0.513,0.5461,152449
11-07-2024,0.5023,0.554,0.5,0.554,399613
10-07-2024,0.52,0.5588,0.5033,0.5172,259444
09-07-2024,0.5296,0.5586,0.5003,0.5111,512066
08-07-2024,0.5,0.5541,0.5,0.546,340715
05-07-2024,0.55,0.55,0.5282,0.5428,123353
03-07-2024,0.542,0.5571,0.542,0.5544,37229
02-07-2024,0.542,0.5692,0.542,0.55,130126
01-07-2024,0.56,0.5704,0.542,0.542,173189
28-06-2024,0.612,0.6292,0.54,0.54,369241
27-06-2024,0.56,0.61,0.545,0.6098,246432
26-06-2024,0.56,0.5984,0.5592,0.5592,142184
25-06-2024,0.6,0.6061,0.55,0.5572,92178
24-06-2024,0.5741,0.599,0.56,0.5747,102601
21-06-2024,0.588,0.5917,0.5601,0.5917,103037
20-06-2024,0.6,0.6001,0.56,0.5768,265525
18-06-2024,0.56,0.5982,0.513,0.5211,412834
17-06-2024,0.6406,0.65,0.53,0.57,593293
14-06-2024,0.6,0.63,0.6,0.6101,108028
13-06-2024,0.65,0.6766,0.5844,0.6003,277582
12-06-2024,0.7,0.7088,0.65,0.6537,219169
11-06-2024,0.6334,0.689,0.63,0.6604,186817
10-06-2024,0.7,0.7001,0.633,0.653,165281
07-06-2024,0.71,0.751,0.66,0.6705,264176
06-06-2024,0.71,0.7486,0.6901,0.7,321758
05-06-2024,0.65,0.73,0.6348,0.71,328653
04-06-2024,0.64,0.6879,0.6101,0.6348,234204
03-06-2024,0.7282,0.73,0.652,0.6771,116266
31-05-2024,0.68,0.7167,0.662,0.6702,77847
30-05-2024,0.6722,0.7,0.6675,0.6748,90005
29-05-2024,0.68,0.6996,0.6531,0.6623,198819
28-05-2024,0.703,0.7239,0.6575,0.672,235702
24-05-2024,0.73,0.769,0.719,0.73,104155
23-05-2024,0.745,0.7736,0.7201,0.73,59264
22-05-2024,0.78,0.78,0.7154,0.76,187171
21-05-2024,0.68,0.7837,0.68,0.769,357811
20-05-2024,0.81,0.82,0.6601,0.68,670260
17-05-2024,0.811,0.8471,0.7802,0.79,480739
16-05-2024,0.8815,0.9,0.8054,0.8316,476040
15-05-2024,0.9019,0.92,0.8509,0.87,314738
14-05-2024,0.98,1,0.8517,0.8991,466638
13-05-2024,0.9582,0.9582,0.88,0.8801,247306
10-05-2024,0.99,0.99,0.8854,0.91,90651
09-05-2024,0.91,0.98,0.8804,0.9795,230586
08-05-2024,0.8999,0.93,0.85,0.8847,244160
07-05-2024,0.8759,0.929,0.8701,0.8866,262075
06-05-2024,0.88,0.9296,0.8714,0.8826,349998
03-05-2024,0.91,0.9637,0.8899,0.89,139080
02-05-2024,0.85,0.939,0.85,0.91,143383
01-05-2024,0.84,0.87,0.84,0.8517,116625
30-04-2024,0.88,0.908,0.8301,0.842,319841
29-04-2024,0.8654,0.9296,0.8654,0.88,174939
26-04-2024,0.9,0.9247,0.8601,0.8652,35358
25-04-2024,0.88,0.9086,0.8654,0.8692,62366
24-04-2024,0.884,0.93,0.884,0.89,30048
23-04-2024,0.88,0.9271,0.88,0.9011,68540
22-04-2024,0.9041,0.9056,0.86,0.88,59356
19-04-2024,0.92,0.95,0.86,0.864,241766
18-04-2024,0.9,0.9366,0.87,0.9245,83625
17-04-2024,0.94,0.94,0.8701,0.8828,78860
16-04-2024,1,1.01,0.8517,0.9152,515935
15-04-2024,1.03,1.0399,0.98,1.01,144867
12-04-2024,1.03,1.06,0.99,0.997,306002
11-04-2024,1.01,1.06,1,1.05,161199
10-04-2024,1.05,1.0847,1.02,1.03,72283
09-04-2024,1.06,1.1,1.04,1.06,120501
08-04-2024,1.13,1.15,1.05,1.08,266415
05-04-2024,1.09,1.13,1.08,1.1,189632
04-04-2024,1.14,1.21,1.09,1.11,234482
03-04-2024,1.11,1.14,1.1,1.1,180778
02-04-2024,1.14,1.14,1.07,1.12,222208
01-04-2024,1.2,1.2,1.14,1.16,144422
28-03-2024,1.13,1.19,1.12,1.14,273346
27-03-2024,1.06,1.1587,1.06,1.1,177134
26-03-2024,1.07,1.17,1.07,1.08,284365
25-03-2024,1.1,1.14,1.06,1.06,151209
22-03-2024,1.07,1.14,1.07,1.11,241263
21-03-2024,1.03,1.11,1.03,1.07,294010
20-03-2024,1.01,1.0544,1.01,1.04,141619
19-03-2024,1,1.06,0.982,1.02,229817
18-03-2024,1.04,1.0658,0.9815,1.01,261969
15-03-2024,1.08,1.15,0.99,1.05,3197819
14-03-2024,1.15,1.1577,1.075,1.08,246192
13-03-2024,1.15,1.17,1.13,1.13,218154
12-03-2024,1.16,1.18,1.13,1.15,250344
11-03-2024,1.24,1.25,1.14,1.19,187759
08-03-2024,1.27,1.27,1.19,1.24,185221
07-03-2024,1.24,1.28,1.18,1.28,235093
