date,open,high,low,close,volume
30-12-2024,419.4,427,415.75,417.41,63137140
27-12-2024,449.52,450,426.5,431.66,82666821
26-12-2024,465.16,465.3299,451.02,454.13,76651210
24-12-2024,435.9,462.78,435.14,462.28,59551750
23-12-2024,431,434.51,415.4112,430.6,72698055
20-12-2024,425.505,447.08,417.64,421.06,132216176
19-12-2024,451.88,456.36,420.02,436.17,118566146
18-12-2024,466.495,488.5399,427.01,440.13,149340788
17-12-2024,475.9,483.99,457.5101,479.86,131222978
16-12-2024,441.09,463.19,436.15,463.02,114083811
13-12-2024,420,436.3,415.71,436.23,89000158
12-12-2024,424.84,429.3,415,418.1,87752225
11-12-2024,409.7,424.88,402.38,424.77,104287559
10-12-2024,392.68,409.73,390.85,400.99,97563578
09-12-2024,397.61,404.8,378.01,389.79,96359173
06-12-2024,377.42,389.49,370.8,389.22,81455834
05-12-2024,359.87,375.43,359.5,369.49,81403569
04-12-2024,353,358.1,348.6,357.93,50810874
03-12-2024,351.8,355.69,348.2,351.42,58267196
02-12-2024,352.38,360,351.1501,357.09,77986478
29-11-2024,336.08,345.45,334.65,345.16,37167621
27-11-2024,341.8,342.55,326.59,332.89,57896439
26-11-2024,341,346.96,335.66,338.23,62295857
25-11-2024,360.14,361.93,338.2,338.59,95890899
22-11-2024,341.085,361.53,337.7,352.56,89140722
21-11-2024,343.81,347.9899,335.28,339.64,58011719
20-11-2024,345,346.5999,334.3,342.03,66340650
19-11-2024,335.76,347.3799,332.75,346,88852452
18-11-2024,340.73,348.5499,330.01,338.74,126547455
15-11-2024,310.57,324.6799,309.22,320.72,114440286
14-11-2024,327.69,329.98,310.37,311.18,120726109
13-11-2024,335.85,344.5999,322.5,330.24,125405599
12-11-2024,342.74,345.84,323.31,328.49,155726016
11-11-2024,346.3,358.64,336,350,210521625
08-11-2024,299.14,328.71,297.66,321.22,204782763
07-11-2024,288.89,299.75,285.52,296.91,117309232
06-11-2024,284.67,289.59,275.62,288.53,165228710
05-11-2024,247.34,255.2799,246.2101,251.44,69282505
